,shapeName,shapeID,shapeGroup,shapeType,longitude,latitude,is_land,tmz,elevation,surface_azimuth,fixed_yield,tracking_yield
0,Ambriz,91424787B55129164942932,AGO,ADM2,13.496760179444067,-7.9630039538182364,True,Africa/Luanda,165.0,0,334031.17165843345,400094.0889445736
1,Bula-Atumba,91424787B37538296064397,AGO,ADM2,14.812438328665513,-8.667627523822812,True,Africa/Luanda,900.0,0,347269.20310012426,407095.3737459115
2,Dande,91424787B22225869855797,AGO,ADM2,13.843401403566903,-8.55145924490527,True,Africa/Luanda,126.0,0,331898.7782876219,393425.95274019195
3,Dembos-Quibaxe,91424787B30710276228058,AGO,ADM2,14.535912382317628,-8.521373185992015,True,Africa/Luanda,801.0,0,332264.9942052312,389953.57988252945
4,Nambuangongo,91424787B85725666887647,AGO,ADM2,14.244442960615803,-8.066237269629543,True,Africa/Luanda,0.0,0,328550.3782668363,386105.58891561505
5,Balombo,91424787B68553415961222,AGO,ADM2,14.77414944181098,-12.373466361302539,True,Africa/Luanda,1231.0,0,395593.7859823538,478345.9795247643
6,Benguela,91424787B89506184943811,AGO,ADM2,13.593980314026041,-12.760812165355361,True,Africa/Luanda,0.0,0,395631.7558799937,456161.452384467
7,Bocoio,91424787B7228629994594,AGO,ADM2,14.261362380553226,-12.352038976589949,True,Africa/Luanda,1324.0,0,398381.145927823,486663.37529373425
8,Caimbambo,91424787B46456959244307,AGO,ADM2,13.90843172892028,-13.113645128034504,True,Africa/Luanda,0.0,0,415170.93213626056,510464.2026267821
9,Chongoroi,91424787B59258922825215,AGO,ADM2,13.77756142285942,-13.601078621278473,True,Africa/Luanda,742.0,0,403135.06263827754,490451.5367219504
10,Cubal,91424787B94223013824021,AGO,ADM2,14.33349144001585,-13.162483159877745,True,Africa/Luanda,0.0,0,409668.3678244732,499439.95565088023
11,Ganda,91424787B85498389381711,AGO,ADM2,14.724561561279126,-13.128665358205721,True,Africa/Luanda,0.0,0,404640.78585288394,491837.7192751925
12,Lobito,91424787B28058724982941,AGO,ADM2,13.829649985720648,-12.18912650821606,True,Africa/Luanda,262.0,0,376529.38014168566,448706.32845755445
13,Andulo,91424787B26485253533103,AGO,ADM2,16.43642091399479,-11.278210057517954,True,Africa/Luanda,0.0,0,392762.34438411886,478355.6907559485
14,Camacupa,91424787B2752331386063,AGO,ADM2,17.754037672741212,-12.43323316684458,True,Africa/Luanda,1359.0,0,406959.9903728223,497324.8791158259
15,Catabola,91424787B92424746149540,AGO,ADM2,17.241337279034536,-12.139757528558983,True,Africa/Luanda,0.0,0,405056.27279279777,494152.94667766476
16,Chitembo,91424787B86258699499147,AGO,ADM2,17.21036032422126,-13.473679277028618,True,Africa/Luanda,1455.0,0,418199.9395598467,516937.58956983883
17,Cuemba,91424787B96157154901846,AGO,ADM2,18.414791279276873,-11.822728803702178,True,Africa/Luanda,0.0,0,394836.1097523246,480106.335287843
18,Cuito,91424787B70988642078334,AGO,ADM2,17.013127024387103,-12.539454842054159,True,Africa/Luanda,1647.0,0,407214.9208987459,499061.4496385983
19,Cunhinga,91424787B32669130254170,AGO,ADM2,16.79673453550408,-11.997603987899385,True,Africa/Luanda,0.0,0,396734.0459364212,485659.6712880727
20,N'harea,91424787B80938274141601,AGO,ADM2,17.145407281782393,-11.312567364299204,True,Africa/Luanda,1541.0,0,393634.63802096306,480754.4426491222
21,Belize,91424787B56518154407657,AGO,ADM2,12.83503842723381,-4.599994769405563,True,Africa/Luanda,0.0,0,301376.9355182701,345918.80312269897
22,Buco Zau,91424787B42052602271073,AGO,ADM2,12.546975587405397,-4.809897724646232,True,Africa/Luanda,0.0,0,301873.48949558765,353117.55039023556
23,Cabinda,91424787B3279989161156,AGO,ADM2,12.367527937931708,-5.474256507046171,True,Africa/Luanda,74.0,0,289976.49008838023,336539.7519236854
24,Cacongo (Landana),91424787B26700352984519,AGO,ADM2,12.24965480014824,-5.057951195758614,True,Africa/Luanda,0.0,0,306131.8271673209,365485.0738396659
25,Calai,91424787B81188725160533,AGO,ADM2,19.409207299080098,-17.377613224075475,True,Africa/Luanda,1128.0,0,433844.7429425236,537631.7505092296
26,Cuangar,91424787B50715234408737,AGO,ADM2,18.149491078876505,-17.054938278999757,True,Africa/Luanda,0.0,0,431212.59026988776,531230.319800725
27,Cuchi,91424787B53017844135234,AGO,ADM2,16.961442347357472,-14.691517577201525,True,Africa/Luanda,1377.0,0,407281.47782402404,497053.36281832337
28,Cuito Cuanavale,91424787B2742201582277,AGO,ADM2,18.82816018640169,-14.929266161207108,True,Africa/Luanda,0.0,0,411998.9084383814,506018.8485780081
29,Dirico,91424787B87549238386331,AGO,ADM2,20.844229316496214,-17.524519875972317,True,Africa/Luanda,0.0,0,425631.67219248024,524992.0962330047
30,Mavinga,91424787B92574513972703,AGO,ADM2,20.25612208672233,-16.11496881936974,True,Africa/Luanda,1170.0,0,415135.6904179084,508347.84912535397
31,Menongue,91424787B22873795828762,AGO,ADM2,17.73588319558043,-15.19873685169669,True,Africa/Luanda,0.0,0,414478.0798234822,509221.2316439944
32,Rivungo,91424787B90420953037674,AGO,ADM2,21.943172190904427,-16.8222226549459,True,Africa/Luanda,1033.0,0,419421.43454012094,519367.41653765354
